model_name,vectorizer,feature,coefficient,direction,abs_coefficient,cue_group,rank_within_direction
tfidf_word_logreg,word,nào,2.1010466849794502,clickbait,2.1010466849794502,question/curiosity,1
tfidf_word_logreg,word,sao,2.0011821679792288,clickbait,2.0011821679792288,question/curiosity,2
tfidf_word_logreg,word,có,1.8793797099719445,clickbait,1.8793797099719445,vague_reference,3
tfidf_word_logreg,word,bất,1.851197609755711,clickbait,1.851197609755711,surprise/emotion,4
tfidf_word_logreg,word,gì,1.8373951975241651,clickbait,1.8373951975241651,question/curiosity,5
tfidf_word_logreg,word,ngờ,1.7100093114345176,clickbait,1.7100093114345176,surprise/emotion,6
tfidf_word_logreg,word,không,1.6801841460422586,clickbait,1.6801841460422586,vague_reference,7
tfidf_word_logreg,word,con,1.6250080736656904,clickbait,1.6250080736656904,other,8
tfidf_word_logreg,word,ăn,1.5770308143512413,clickbait,1.5770308143512413,other,9
tfidf_word_logreg,word,khiến,1.5047381302988387,clickbait,1.5047381302988387,vague_reference,10
tfidf_word_logreg,word,của,1.486836711128272,clickbait,1.486836711128272,other,11
tfidf_word_logreg,word,bất ngờ,1.485292164259033,clickbait,1.485292164259033,surprise/emotion,12
tfidf_word_logreg,word,lộ,1.4399812339283211,clickbait,1.4399812339283211,other,13
tfidf_word_logreg,word,vì,1.4345327021698553,clickbait,1.4345327021698553,other,14
tfidf_word_logreg,word,là,1.430154422804503,clickbait,1.430154422804503,vague_reference,15
tfidf_word_logreg,word,gây,1.3645635875498308,clickbait,1.3645635875498308,other,16
tfidf_word_logreg,word,như,1.3134973391284546,clickbait,1.3134973391284546,other,17
tfidf_word_logreg,word,cũng,1.304322830124966,clickbait,1.304322830124966,other,18
tfidf_word_logreg,word,khi,1.2437262266894649,clickbait,1.2437262266894649,other,19
tfidf_word_logreg,word,phải,1.2337688641372102,clickbait,1.2337688641372102,other,20
tfidf_word_logreg,word,vợ,1.204459532254123,clickbait,1.204459532254123,other,21
tfidf_word_logreg,word,này,1.1583272228035588,clickbait,1.1583272228035588,vague_reference,22
tfidf_word_logreg,word,bạn,1.1186779398851996,clickbait,1.1186779398851996,other,23
tfidf_word_logreg,word,làm,1.0997142424300737,clickbait,1.0997142424300737,other,24
tfidf_word_logreg,word,nhưng,1.0865475992597615,clickbait,1.0865475992597615,other,25
tfidf_word_logreg,word,trên,1.0527177016186873,clickbait,1.0527177016186873,other,26
tfidf_word_logreg,word,sốc,1.0187939898176317,clickbait,1.0187939898176317,surprise/emotion,27
tfidf_word_logreg,word,người,1.0186388732046177,clickbait,1.0186388732046177,other,28
tfidf_word_logreg,word,đi,1.0140155008559222,clickbait,1.0140155008559222,other,29
tfidf_word_logreg,word,chuyện,1.0107969156526992,clickbait,1.0107969156526992,other,30
tfidf_word_logreg,word,ẩn,1.0031569789788932,clickbait,1.0031569789788932,other,31
tfidf_word_logreg,word,clip,0.9814509427985134,clickbait,0.9814509427985134,other,32
tfidf_word_logreg,word,nhờ,0.97907601018769,clickbait,0.97907601018769,other,33
tfidf_word_logreg,word,phim,0.9628723338634292,clickbait,0.9628723338634292,other,34
tfidf_word_logreg,word,tay,0.9609428603102276,clickbait,0.9609428603102276,other,35
tfidf_word_logreg,word,hôn,0.9550966105220904,clickbait,0.9550966105220904,other,36
tfidf_word_logreg,word,vì sao,0.9475495795004916,clickbait,0.9475495795004916,question/curiosity,37
tfidf_word_logreg,word,phẩm,0.9472266727998596,clickbait,0.9472266727998596,other,38
tfidf_word_logreg,word,hé,0.9429399636448594,clickbait,0.9429399636448594,other,39
tfidf_word_logreg,word,hé lộ,0.9429399636448594,clickbait,0.9429399636448594,other,40
tfidf_word_logreg,word,thế,0.9401334168579842,clickbait,0.9401334168579842,other,41
tfidf_word_logreg,word,phụ,0.9203079026863504,clickbait,0.9203079026863504,other,42
tfidf_word_logreg,word,cái,0.91817635482867,clickbait,0.91817635482867,other,43
tfidf_word_logreg,word,mật,0.9176586892886868,clickbait,0.9176586892886868,other,44
tfidf_word_logreg,word,ra sao,0.9169446334430076,clickbait,0.9169446334430076,other,45
tfidf_word_logreg,word,mang,0.9104319405468816,clickbait,0.9104319405468816,other,46
tfidf_word_logreg,word,thực,0.9064203270409232,clickbait,0.9064203270409232,other,47
tfidf_word_logreg,word,vô,0.8871773067738067,clickbait,0.8871773067738067,other,48
tfidf_word_logreg,word,câu,0.8793977217883757,clickbait,0.8793977217883757,other,49
tfidf_word_logreg,word,uống,0.87886554372297,clickbait,0.87886554372297,other,50
tfidf_word_logreg,word,từng,0.874630763409742,clickbait,0.874630763409742,other,51
tfidf_word_logreg,word,nên,0.8740475441062721,clickbait,0.8740475441062721,other,52
tfidf_word_logreg,word,quen,0.8661255363338847,clickbait,0.8661255363338847,other,53
tfidf_word_logreg,word,kg,0.8660268772432598,clickbait,0.8660268772432598,other,54
tfidf_word_logreg,word,tiết lộ,0.8654879174506164,clickbait,0.8654879174506164,other,55
tfidf_word_logreg,word,đời,0.8625941991829598,clickbait,0.8625941991829598,other,56
tfidf_word_logreg,word,thực phẩm,0.8534868563448238,clickbait,0.8534868563448238,other,57
tfidf_word_logreg,word,sự,0.852132755867591,clickbait,0.852132755867591,other,58
tfidf_word_logreg,word,chê,0.847697899608299,clickbait,0.847697899608299,other,59
tfidf_word_logreg,word,tiền,0.8429303018952227,clickbait,0.8429303018952227,other,60
tfidf_word_logreg,word,cô,0.8420251943309742,clickbait,0.8420251943309742,other,61
tfidf_word_logreg,word,được,0.8359727507598239,clickbait,0.8359727507598239,other,62
tfidf_word_logreg,word,lý do,0.835273903832553,clickbait,0.835273903832553,other,63
tfidf_word_logreg,word,ngồi,0.8319244833201643,clickbait,0.8319244833201643,other,64
tfidf_word_logreg,word,saostar,0.8020499755381982,clickbait,0.8020499755381982,other,65
tfidf_word_logreg,word,chí saostar,0.8020499755381982,clickbait,0.8020499755381982,other,66
tfidf_word_logreg,word,sốt,0.7988154406395404,clickbait,0.7988154406395404,other,67
tfidf_word_logreg,word,nữ,0.7970215987481614,clickbait,0.7970215987481614,other,68
tfidf_word_logreg,word,đám,0.7958696421957387,clickbait,0.7958696421957387,other,69
tfidf_word_logreg,word,gây sốt,0.7893812294018604,clickbait,0.7893812294018604,surprise/emotion,70
tfidf_word_logreg,word,gái,0.7893598855354033,clickbait,0.7893598855354033,other,71
tfidf_word_logreg,word,tình,0.7836799334128473,clickbait,0.7836799334128473,other,72
