id,title,lead_paragraph,source,category,label,label_str,protocol,run_name,model_name,y_true,y_pred,y_score,clickbait_score_normalized,is_correct,error_type,confidence_in_prediction,confidence_error_rank,title_char_len,title_word_count,title_n_question,title_n_exclamation,title_n_number,title_n_cb_keywords,title_n_curiosity_gap_cues,title_n_ambiguous_cues,length_bin,has_question,has_clickbait_keyword,has_curiosity_gap,has_number,source_cb_rate_diagnostic,category_cb_rate_diagnostic
article_0002,5 người thoát nạn khi ôtô bị lũ cuốn,"Tuyên QuangĐi theo Google Maps song lại được chỉ vào đoạn ngập, ôtô 5 chỗ bị lũ cuốn, ba người lớn và hai trẻ nhỏ may mắn thoát nạn, đêm 23/6.",VnExpress,Tin tức tổng hợp,0,Non-clickbait,random_split,test,tfidf_word_logreg,0,0,0.4357515738335454,0.4357515738335454,True,TN,0.5642484261664547,,36,9,0,0,1,0,0,0,very_short,no_question,no_clickbait_keyword,no_curiosity_gap,has_number,0.1447368421052631,0.0406091370558375
article_0010,Quốc hội bước vào tuần làm việc cuối cùng của kỳ họp dài kỷ lục,"Tuần cuối kỳ họp 9 (23-27/6), Quốc hội sẽ biểu quyết thông qua nhiều luật, nghị quyết quan trọng, trong đó có sửa đổi Bộ luật Hình sự, Luật Xử lý vi phạm hành chính và nghị quyết về trung tâm tài chính quốc tế.",VnExpress,Tin tức tổng hợp,0,Non-clickbait,random_split,test,tfidf_word_logreg,0,0,0.4051058044530488,0.4051058044530488,True,TN,0.5948941955469512,,63,15,0,0,0,0,0,0,medium,no_question,no_clickbait_keyword,no_curiosity_gap,no_number,0.1447368421052631,0.0406091370558375
article_0017,Phương án tổ chức giao thông qua cầu Nhơn Trạch nối TP HCM - Đồng Nai,"Do hai đoạn đầu tuyến kết nối chưa hoàn thành, nên giai đoạn đầu cầu Nhơn Trạch dự kiến khai thác như đường đô thị, chưa theo tiêu chuẩn cao tốc.",VnExpress,Tin tức tổng hợp,0,Non-clickbait,random_split,test,tfidf_word_logreg,0,0,0.184842196157766,0.184842196157766,True,TN,0.815157803842234,,69,16,0,0,0,0,0,0,medium,no_question,no_clickbait_keyword,no_curiosity_gap,no_number,0.1447368421052631,0.0406091370558375
article_0022,"Đà Nẵng đề xuất thử nghiệm tài sản số, tiền số","Thành phố kiến nghị cho phép hình thành tại Trung tâm tài chính quốc tế các sàn giao dịch chuyên biệt như tài sản số, tiền số cho doanh nghiệp đổi mới sáng tạo.",VnExpress,Tin tức tổng hợp,0,Non-clickbait,random_split,test,tfidf_word_logreg,0,0,0.1666901882160046,0.1666901882160046,True,TN,0.8333098117839954,,46,11,0,0,0,0,0,0,short,no_question,no_clickbait_keyword,no_curiosity_gap,no_number,0.1447368421052631,0.0406091370558375
article_0025,Báo chí cách mạng Việt Nam nhận huân chương Hồ Chí Minh,"Ngày 21/6, Tổng Bí thư Tô Lâm trao tặng huân chương Hồ Chí Minh cho Báo chí cách mạng Việt Nam, ghi nhận những đóng góp to lớn vào sự nghiệp cách mạng của Đảng và dân tộc.",VnExpress,Tin tức tổng hợp,0,Non-clickbait,random_split,test,tfidf_word_logreg,0,0,0.1568675447943647,0.1568675447943647,True,TN,0.8431324552056353,,55,12,0,0,0,1,0,0,short,no_question,has_clickbait_keyword,no_curiosity_gap,no_number,0.1447368421052631,0.0406091370558375
article_0027,Nhiều khu dân cư ở Thái Nguyên ngập hơn một mét,"Mưa lớn từ tối qua đến sáng nay khiến nhiều khu dân cư ở TP Thái Nguyên, TP Sông Công, TP Phổ Yên bị ngập, có nhà nước dâng cao hơn một mét.",VnExpress,Tin tức tổng hợp,0,Non-clickbait,random_split,test,tfidf_word_logreg,0,0,0.357205510679513,0.357205510679513,True,TN,0.642794489320487,,47,11,0,0,0,0,0,0,short,no_question,no_clickbait_keyword,no_curiosity_gap,no_number,0.1447368421052631,0.0406091370558375
article_0028,Các tòa soạn thích ứng thế nào với sáp nhập bộ máy?,"Tòa soạn sau sáp nhập phải bố trí nhân sự hợp lý, phóng viên năng động, nếu trước đây chỉ làm báo in thì nay phải kiêm cả báo hình, báo ảnh...",VnExpress,Tin tức tổng hợp,0,Non-clickbait,random_split,test,tfidf_word_logreg,0,0,0.4394964728626035,0.4394964728626035,True,TN,0.5605035271373965,,51,12,1,0,0,0,0,0,short,has_question,no_clickbait_keyword,no_curiosity_gap,no_number,0.1447368421052631,0.0406091370558375
article_0040,'Sắp xếp giang sơn để Việt Nam tăng sức cạnh tranh quốc tế',"Phó thủ tướng Nguyễn Hòa Bình cho biết công cuộc sắp xếp lại giang sơn nhằm để Việt Nam mở rộng không gian phát triển, tăng sức cạnh tranh quốc tế.",VnExpress,Tin tức tổng hợp,0,Non-clickbait,random_split,test,tfidf_word_logreg,0,0,0.1742948785284072,0.1742948785284072,True,TN,0.8257051214715928,,59,13,0,0,0,0,0,0,medium,no_question,no_clickbait_keyword,no_curiosity_gap,no_number,0.1447368421052631,0.0406091370558375
article_0041,Bộ trưởng Y tế trả lời về an toàn thực phẩm trường học,"Tham gia phiên chất vấn nhóm vấn đề giáo dục sáng 20/6, Bộ trưởng Y tế Đào trả lời về dinh dưỡng, bữa ăn cho học sinh và an toàn thực phẩm trong trường học.",VnExpress,Tin tức tổng hợp,0,Non-clickbait,random_split,test,tfidf_word_logreg,0,0,0.3760126808034467,0.3760126808034467,True,TN,0.6239873191965533,,54,13,0,0,0,0,0,0,short,no_question,no_clickbait_keyword,no_curiosity_gap,no_number,0.1447368421052631,0.0406091370558375
article_0052,"Ông Trần Lưu Quang kiểm tra công tác chuẩn bị vận hành chính quyền 2 cấp tại Ninh Thuận, Khánh Hòa","Ông Trần Lưu Quang - trưởng Ban Chính sách, chiến lược Trung ương - đánh giá cao sự chủ động của phường Phan Rang (Ninh Thuận) và xã Cam Lâm (Khánh Hòa) đã đảm bảo đồng bộ các yếu tố: nhân sự, cơ sở vật chất, hệ thống hạ tầng cho việc vận hành.",Tuổi Trẻ,Tin tức tổng hợp,0,Non-clickbait,random_split,test,tfidf_word_logreg,0,0,0.1476041161117004,0.1476041161117004,True,TN,0.8523958838882996,,98,21,0,0,1,0,0,0,very_long,no_question,no_clickbait_keyword,no_curiosity_gap,has_number,0.2904564315352697,0.0406091370558375
