case_source,id,title,lead_paragraph,source,category,y_true,y_pred,error_type,y_score,confidence_in_prediction,taxonomy_label,annotator_note,analysis_note
manual_flag,article_3648,Cảng cá 280 tỷ đồng sắp hoạt động nhưng luồng lạch bồi lắng,"Dự án cảng cá Cửa Nhượng (Hà Tĩnh) có mức đầu tư 280 tỷ đồng được đánh giá hiện đại bậc nhất miền Trung đã hoàn thiện, chuẩn bị đưa vào hoạt động song luồng lạch bồi lắng khiến ngư dân lo lắng khó vào, ra.",24h,Giải trí & Showbiz,1,0,FN,0.3271110393855262,0.6728889606144738,DATA_quality_issue,"Category là Giải trí & Showbiz nhưng nội dung là cảng cá/hạ tầng, cho thấy metadata có thể bị lệch.",
manual_flag,article_2131,"Video: Nam sinh xem điểm thi vào lớp 10, phản ứng khiến cả cõi mạng vui lây","Giữa mùa công bố điểm thi vào lớp 10 đầy hồi hộp, mạng xã hội lại rộn ràng vì đoạn clip ghi lại phản ứng hài hước của một nam sinh khi biết mình đỗ cấp 3",SaoStar,Giáo dục & Học đường,1,0,FN,0.3555825460485436,0.6444174539514564,FN_subtle_curiosity_gap,Cụm 'phản ứng khiến cả cõi mạng vui lây' che giấu phản ứng cụ thể và là ví dụ clickbait rõ.,
manual_flag,article_3408,"Cao nguyên cách Hà Nội 300km có biển mây, thác nước, khách rộn ràng reo vui","Quãng đường di chuyển thuận tiện với tuyến cao tốc Hà Nội - Lào Cai, không khí trong lành, mát mẻ, mùa hè chỉ khoảng 20 độ C... là những lý do khiến cao nguyên Y Tý trở thành địa điểm ""trốn nóng"" hút khách.",VietNamNet,Du lịch & Ẩm thực,1,0,FN,0.4154336720473255,0.5845663279526745,FN_subtle_curiosity_gap,Tiêu đề mô tả địa điểm bằng khoảng cách và trải nghiệm nhưng không nêu tên nơi ngay ở headline.,
manual_flag,article_2870,Top đội bóng,,Thanh Niên,Chính trị & An ninh,1,0,FN,0.4158570493288672,0.5841429506711329,DATA_quality_issue,"Tiêu đề quá ngắn và lead trống, không đủ ngữ cảnh để đánh giá nhãn một cách đáng tin cậy.",
manual_flag,article_2031,Khám phá,"Khám phá du lịch - Khám phá tour du lịch độc đáo, nổi tiếng. Khám phá văn hóa ẩm thực vùng miền, địa điểm, địa danh nổi tiếng Việt Nam và thế giới",Thanh Niên,Chính trị & An ninh,1,0,FN,0.4194295908619559,0.5805704091380441,DATA_quality_issue,"Tiêu đề chỉ là một từ chung chung và lead giống mô tả chuyên mục, khả năng là lỗi scrape/metadata.",
manual_flag,article_2732,Tắt các thiết lập này sẽ giúp tăng tốc Windows 11 nhanh hơn rất nhiều - Báo Pháp Luật TP.HCM,"Windows 11 mang đến giao diện hiện đại, nhiều hiệu ứng chuyển động mượt mà, nhưng chính những yếu tố này lại khiến hệ thống trở nên ì ạch. Làm thế nào để tăng tốc Windows 11?",Báo Mới,Other,1,0,FN,0.4254536427224148,0.5745463572775852,FN_subtle_curiosity_gap,"Cụm 'các thiết lập này' che giấu thông tin cụ thể, là curiosity gap dạng hướng dẫn.",
manual_flag,article_0718,"Người đàn ông đến ngân hàng chuyển 22 triệu đồng cho vợ tương lai, nhân viên liền báo cảnh sát",Người đàn ông phản ứng vô cùng gay gắt khi làm viêc với phía cảnh sát.,SaoStar,Quốc tế,1,0,FN,0.4402169074690811,0.5597830925309188,FN_subtle_curiosity_gap,"Tiêu đề kể tình huống lạ nhưng giấu lý do nhân viên báo cảnh sát, curiosity gap rất rõ.",
manual_flag,article_1226,Mặt trời giả xuất hiện ở Việt Nam đúng ngày hạ chí: Báo hiệu điều gì?,"Hạ chí 21.6 hôm qua, nhiều người bất ngờ nhìn thấy hiện tượng mặt trời giả từ núi Bà Đen (Tây Ninh). Nguyên nhân của hiện tượng này là gì?",Thanh Niên,Other,1,0,FN,0.4491805419187837,0.5508194580812162,FN_subtle_curiosity_gap,Câu hỏi 'Báo hiệu điều gì?' che giấu lời giải thích và là cue curiosity điển hình.,
manual_flag,article_1237,"Tưởng bị phạt nguội, tài xế vượt đèn đỏ nhận thông báo không ngờ từ CSGT","Tài xế vượt đèn đỏ đưa người bị tai nạn đi cấp cứu ở TP.Đà Lạt lo bị phạt nguội, nhưng thông báo mới nhất từ CSGT khiến ông bất ngờ.",Thanh Niên,Other,1,0,FN,0.4547403339320597,0.5452596660679403,FN_subtle_curiosity_gap,"Cụm 'thông báo không ngờ' che giấu kết quả, tạo clickbait rõ.",
manual_flag,article_1499,Alo bác sĩ nghe: Đau mỏi vai gáy khi ngủ dậy cảnh báo điều gì?,"'Tôi năm nay 55 tuổi, gần đây hay đau mỏi vai gáy, nhất là buổi sáng ngủ dậy. Liệu có phải dấu hiệu của thoái hóa đốt sống cổ không? Tôi nên khám và điều trị như thế nào?'. (M.Lộc, ở TP.HCM).",Thanh Niên,Other,0,1,FP,0.8046873814161782,0.8046873814161782,FP_question_but_legitimate,"Tiêu đề là câu hỏi tư vấn y tế hợp lệ, không cố tình che giấu thông tin quá mức.",
manual_flag,article_3276,"Lái xe đi nghỉ mát, cả gia đình được buổi 'xông hơi' vì điều hòa ô tô giở chứng - Báo VietnamNet","Gia đình 4 người lái xe ô tô đi du lịch thì điều hòa hỏng giữa trời nắng, chiếc xe trở thành phòng xông hơi bất đắc dĩ. Chuyên nghỉ mát 'toát mồ hôi hột' là có thật.",Báo Mới,Sức khỏe & Đời sống,0,1,FP,0.756698005536809,0.756698005536809,FP_emotional_but_informative,"Cách ví 'xông hơi' và 'toát mồ hôi' giàu hình ảnh khiến model dự đoán clickbait, nhưng sự cố được nêu rõ.",
manual_flag,article_0888,Choáng vì hàng giả tinh vi như hàng thật,"Hàng giả hiện nay không còn là những món đồ nhái vụng về với kiểu dáng thô kệch, bao bì sơ sài như trước mà được ""biến hóa"" tinh vi đến mức đánh lừa cả người sành sỏi.",Tuổi Trẻ,Kinh doanh & Kinh tế,0,1,FP,0.67132622597866,0.67132622597866,FP_emotional_but_informative,"Từ 'Choáng' rất dễ kích hoạt clickbait, nhưng nội dung là phản ánh hàng giả tinh vi.",
manual_flag,article_0569,Bán hàng trên sàn online nộp thuế thế nào từ 1/7,"Doanh thu tính thuế giá trị gia tăng và thu nhập cá nhân của người bán trên sàn gồm toàn bộ tiền từ hàng hóa, dịch vụ, không trừ phí giao dịch, vận chuyển, giảm giá, trợ giá, theo hướng dẫn của cơ quan thuế.",VnExpress,Kinh doanh & Kinh tế,0,1,FP,0.6199492422078831,0.6199492422078831,FP_question_but_legitimate,Câu hỏi về nộp thuế là dạng hướng dẫn chính sách hợp lệ và topic rõ.,
manual_flag,article_2370,Triệu chứng ung thư thận giai đoạn cuối,"Ung thư thận nằm ở vị trí thứ 9 trong tỷ lệ mắc ung thư ở người trưởng thành (chiếm khoảng 2%), đồng thời xếp thứ 3 trong số các bệnh ung thư thuộc hệ tiết niệu.",Kênh14,Sức khỏe & Đời sống,0,1,FP,0.6026103531378945,0.6026103531378945,OTHER,Tiêu đề sức khỏe dạng thông tin triệu chứng khá trực tiếp; lỗi có thể do topic bệnh nặng gây nhiễu.,
manual_flag,article_1051,"'Xuyên không' ở ngôi làng nhiều nhà trăm tuổi, cổ vật quý, cách TPHCM 110km - Báo VietnamNet","Làng cổ Đông Hòa Hiệp thuộc xã Đông Hòa Hiệp, huyện Cái Bè, tỉnh Tiền Giang, cách trung tâm TP Mỹ Tho 46km, cách TPHCM khoảng 110km về phía Tây - Nam. Đây là điểm đến hấp dẫn nhiều du khách bởi những ngôi nhà trăm tuổi, có kiến trúc độc đáo.",Báo Mới,Other,0,1,FP,0.593461245145395,0.593461245145395,FP_emotional_but_informative,Ẩn dụ 'xuyên không' tạo cảm giác lạ nhưng bài giới thiệu địa điểm du lịch rất cụ thể.,
